Date,Amount,Description,Category
2026-09-01,1000.00,August paycheck,Income
2026-09-02,-81.67,"Corner Market, Inc.",Groceries
2026-09-04,-5.50,Coffee Shop,Restaurants
2026-09-04,-63.00,Electric bill,Utilities
2026-09-07,-39.28,Weekly grocery shop,Groceries
2026-09-11,-42.86,Gas station fill-up,Transportation
2026-09-15,1000.00,August paycheck,Income
2026-09-18,-120.00,Internet and cable,Utilities
2026-09-19,-100.00,Lodging,Travel
2026-09-19,-18.75,National Park entry,Health & Fitness Fun
2026-09-19,-8.00,Bandaids,Health needs
2026-09-20,-41.06,Weekly grocery shop,Groceries
2026-09-22,-9.99,Streaming subscription,Entertainment
2026-09-24,-20.00,Museum tickets,Education
2026-09-24,-20.00,Parking,Transportation
2026-09-26,-30.00,Dinner with friends,Restaurants
2026-09-28,-24.97,Weekly grocery shop,Groceries
2026-09-30,-5.50,Coffee Shop,Restaurants
